t,x,y,x_vel,y_vel
 0.000000000,-1000,-1000,0,0
 0.100000000,-1000,-1000,0,0
 0.200000000,-1000,-1000,0,0
 0.300000000,-1000,-1000,0,0
 0.400000000,-1000,-1000,0,0
 0.500000000,-1000,-1000,0,0
 0.600000000,-1000,-1000,0,0
 0.700000000,-1000,-1000,0,0
 0.800000000,-1000,-1000,0,0
 0.900000000,-1000,-1000,0,0
 1.000000000,-1000,-1000,0,0
 1.100000000,-1000,-1000,0,0
 1.200000000,-1000,-1000,0,0
 1.300000000,-1000,-1000,0,0
 1.400000000,-1000,-1000,0,0
 1.500000000,-1000,-1000,0,0
 1.600000000,-1000,-1000,0,0
 1.700000000,-1000,-1000,0,0
 1.800000000,-1000,-1000,0,0
 1.900000000,-1000,-1000,0,0
 2.000000000,-1000,-1000,0,0
 2.100000000,-1000,-1000,0,0
 2.200000000,-1000,-1000,0,0
 2.300000000,-1000,-1000,0,0
 2.400000000,-1000,-1000,0,0
 2.500000000,-1000,-1000,0,0
 2.600000000,-1000,-1000,0,0
 2.700000000,-1000,-1000,0,0
 2.800000000,-1000,-1000,0,0
 2.900000000,-1000,-1000,0,0
 3.000000000,-1000,-1000,0,0
 3.100000000,-1000,-1000,0,0
 3.200000000,-1000,-1000,0,0
 3.300000000,-1000,-1000,0,0
 3.400000000,-1000,-1000,0,0
 3.500000000,-1000,-1000,0,0
 3.600000000,-1000,-1000,0,0
 3.700000000,-1000,-1000,0,0
 3.800000000,-1000,-1000,0,0
 3.900000000,-1000,-1000,0,0
 4.000000000,-1000,-1000,0,0
 4.100000000,-1000,-1000,0,0
 4.200000000,-1000,-1000,0,0
 4.300000000,-1000,-1000,0,0
 4.400000000,-1000,-1000,0,0
 4.500000000,-1000,-1000,0,0
 4.600000000,-1000,-1000,0,0
 4.700000000,-1000,-1000,0,0
 4.800000000,-1000,-1000,0,0
 4.900000000,-1000,-1000,0,0
 5.000000000,-1000,-1000,0,0
 5.100000000,-1000,-1000,0,0
 5.200000000,-1000,-1000,0,0
 5.300000000,-1000,-1000,0,0
 5.400000000,-1000,-1000,0,0
 5.500000000,-1000,-1000,0,0
 5.600000000,-1000,-1000,0,0
 5.700000000,-1000,-1000,0,0
 5.800000000,-1000,-1000,0,0
 5.900000000,-1000,-1000,0,0
 6.000000000,-1000,-1000,0,0
 6.100000000,-1000,-1000,0,0
 6.200000000,-1000,-1000,0,0
 6.300000000,-1000,-1000,0,0
 6.400000000,-1000,-1000,0,0
 6.500000000,-1000,-1000,0,0
 6.600000000,-1000,-1000,0,0
 6.700000000,-1000,-1000,0,0
 6.800000000,-1000,-1000,0,0
 6.900000000,-1000,-1000,0,0
 7.000000000,-1000,-1000,0,0
 7.100000000,-1000,-1000,0,0
 7.200000000,-1000,-1000,0,0
 7.300000000,-1000,-1000,0,0
 7.400000000,-1000,-1000,0,0
 7.500000000,-1000,-1000,0,0
 7.600000000,-1000,-1000,0,0
 7.700000000,-1000,-1000,0,0
 7.800000000,-1000,-1000,0,0
 7.900000000,-1000,-1000,0,0
 8.000000000,-1000,-1000,0,0
 8.100000000,-1000,-1000,0,0
 8.200000000,-1000,-1000,0,0
 8.300000000,-1000,-1000,0,0
 8.400000000,-1000,-1000,0,0
 8.500000000,-1000,-1000,0,0
 8.600000000,-1000,-1000,0,0
 8.700000000,-1000,-1000,0,0
 8.800000000,-1000,-1000,0,0
 8.900000000,-1000,-1000,0,0
 9.000000000,-1000,-1000,0,0
 9.100000000,-1000,-1000,0,0
 9.200000000,-1000,-1000,0,0
 9.300000000,-1000,-1000,0,0
 9.400000000,-1000,-1000,0,0
 9.500000000,-1000,-1000,0,0
 9.600000000,-1000,-1000,0,0
 9.700000000,-1000,-1000,0,0
 9.800000000,-1000,-1000,0,0
 9.900000000,-1000,-1000,0,0
10.000000000,-1000,-1000,0,0
10.100000000,-1000,-1000,0,0
10.200000000,-1000,-1000,0,0
10.300000000,-1000,-1000,0,0
10.400000000,-1000,-1000,0,0
10.500000000,-1000,-1000,0,0
10.600000000,-1000,-1000,0,0
10.700000000,-1000,-1000,0,0
10.800000000,-1000,-1000,0,0
10.900000000,-1000,-1000,0,0
11.000000000,-1000,-1000,0,0
11.100000000,-1000,-1000,0,0
11.200000000,-1000,-1000,0,0
11.300000000,-1000,-1000,0,0
11.400000000,-1000,-1000,0,0
11.500000000,-1000,-1000,0,0
11.600000000,-1000,-1000,0,0
11.700000000,-1000,-1000,0,0
11.800000000,-1000,-1000,0,0
11.900000000,-1000,-1000,0,0
12.000000000,-1000,-1000,0,0
12.100000000,-1000,-1000,0,0
12.200000000,-1000,-1000,0,0
12.300000000,-1000,-1000,0,0
12.400000000,-1000,-1000,0,0
12.500000000,-1000,-1000,0,0
12.600000000,-1000,-1000,0,0
12.700000000,-1000,-1000,0,0
12.800000000,-1000,-1000,0,0
12.900000000,-1000,-1000,0,0
13.000000000,-1000,-1000,0,0
13.100000000,-1000,-1000,0,0
13.200000000,-1000,-1000,0,0
13.300000000,-1000,-1000,0,0
13.400000000,-1000,-1000,0,0
13.500000000,-1000,-1000,0,0
13.600000000,-1000,-1000,0,0
13.700000000,-1000,-1000,0,0
13.800000000,-1000,-1000,0,0
13.900000000,-1000,-1000,0,0
14.000000000,-1000,-1000,0,0
